density,eaten,alive,prey-host.plant-predator.sex
30,30,0,mite-bean-F
30,30,0,mite-bean-F
30,30,0,mite-bean-F
30,23,7,mite-bean-F
30,12,18,mite-bean-F
30,30,0,mite-bean-F
30,30,0,mite-bean-F
30,26,4,mite-bean-F
30,30,0,mite-bean-F
30,23,7,mite-bean-F
30,28,2,mite-bean-F
30,21,9,mite-bean-F
30,30,0,mite-bean-F
30,17,13,mite-bean-F
30,11,19,mite-bean-F
50,50,0,mite-bean-F
50,50,0,mite-bean-F
50,31,19,mite-bean-F
50,50,0,mite-bean-F
50,46,4,mite-bean-F
50,48,2,mite-bean-F
50,43,7,mite-bean-F
50,36,14,mite-bean-F
50,50,0,mite-bean-F
50,50,0,mite-bean-F
50,35,15,mite-bean-F
50,50,0,mite-bean-F
50,32,18,mite-bean-F
50,50,0,mite-bean-F
50,47,3,mite-bean-F
100,55,45,mite-bean-F
100,69,31,mite-bean-F
100,79,21,mite-bean-F
100,50,50,mite-bean-F
100,85,15,mite-bean-F
100,92,8,mite-bean-F
100,35,65,mite-bean-F
100,88,12,mite-bean-F
100,54,46,mite-bean-F
100,100,0,mite-bean-F
100,89,11,mite-bean-F
100,84,16,mite-bean-F
100,96,4,mite-bean-F
100,82,18,mite-bean-F
100,30,70,mite-bean-F
150,112,38,mite-bean-F
150,140,10,mite-bean-F
150,61,89,mite-bean-F
150,79,71,mite-bean-F
150,82,68,mite-bean-F
150,24,126,mite-bean-F
150,18,132,mite-bean-F
150,24,126,mite-bean-F
150,51,99,mite-bean-F
150,83,67,mite-bean-F
150,37,113,mite-bean-F
150,97,53,mite-bean-F
150,106,44,mite-bean-F
150,116,34,mite-bean-F
150,32,118,mite-bean-F
200,147,53,mite-bean-F
200,139,61,mite-bean-F
200,164,36,mite-bean-F
200,142,58,mite-bean-F
200,122,78,mite-bean-F
200,126,74,mite-bean-F
200,91,109,mite-bean-F
200,79,121,mite-bean-F
200,80,120,mite-bean-F
200,100,100,mite-bean-F
200,81,119,mite-bean-F
200,110,90,mite-bean-F
200,120,80,mite-bean-F
200,174,26,mite-bean-F
200,136,64,mite-bean-F
250,112,138,mite-bean-F
250,78,172,mite-bean-F
250,66,184,mite-bean-F
250,176,74,mite-bean-F
250,102,148,mite-bean-F
250,76,174,mite-bean-F
250,124,126,mite-bean-F
250,134,116,mite-bean-F
250,72,178,mite-bean-F
250,78,172,mite-bean-F
250,141,109,mite-bean-F
250,112,138,mite-bean-F
250,106,144,mite-bean-F
250,65,185,mite-bean-F
250,77,173,mite-bean-F
30,27,3,mite-eggplant-F
30,28,2,mite-eggplant-F
30,26,4,mite-eggplant-F
30,29,1,mite-eggplant-F
30,29,1,mite-eggplant-F
30,30,0,mite-eggplant-F
30,30,0,mite-eggplant-F
30,30,0,mite-eggplant-F
30,27,3,mite-eggplant-F
30,29,1,mite-eggplant-F
50,36,14,mite-eggplant-F
50,38,12,mite-eggplant-F
50,48,2,mite-eggplant-F
50,45,5,mite-eggplant-F
50,41,9,mite-eggplant-F
50,43,7,mite-eggplant-F
50,42,8,mite-eggplant-F
50,39,11,mite-eggplant-F
50,47,3,mite-eggplant-F
50,46,4,mite-eggplant-F
100,88,12,mite-eggplant-F
100,64,36,mite-eggplant-F
100,85,15,mite-eggplant-F
100,41,59,mite-eggplant-F
100,100,0,mite-eggplant-F
100,79,21,mite-eggplant-F
100,99,1,mite-eggplant-F
100,88,12,mite-eggplant-F
100,85,15,mite-eggplant-F
100,99,1,mite-eggplant-F
150,142,8,mite-eggplant-F
150,105,45,mite-eggplant-F
150,149,1,mite-eggplant-F
150,147,3,mite-eggplant-F
150,127,23,mite-eggplant-F
150,146,4,mite-eggplant-F
150,145,5,mite-eggplant-F
150,60,90,mite-eggplant-F
150,100,50,mite-eggplant-F
150,108,42,mite-eggplant-F
200,163,37,mite-eggplant-F
200,139,61,mite-eggplant-F
200,88,112,mite-eggplant-F
200,145,55,mite-eggplant-F
200,186,14,mite-eggplant-F
200,122,78,mite-eggplant-F
200,194,6,mite-eggplant-F
200,171,29,mite-eggplant-F
200,126,74,mite-eggplant-F
200,163,37,mite-eggplant-F
250,95,155,mite-eggplant-F
250,118,132,mite-eggplant-F
250,142,108,mite-eggplant-F
250,220,30,mite-eggplant-F
250,202,48,mite-eggplant-F
250,171,79,mite-eggplant-F
250,177,73,mite-eggplant-F
250,99,151,mite-eggplant-F
250,119,131,mite-eggplant-F
250,158,92,mite-eggplant-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
2,1,1,thrip-bean-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
2,1,1,thrip-bean-F
2,1,1,thrip-bean-F
2,2,0,thrip-bean-F
2,1,1,thrip-bean-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
2,2,0,thrip-bean-F
6,5,1,thrip-bean-F
6,5,1,thrip-bean-F
6,6,0,thrip-bean-F
6,4,2,thrip-bean-F
6,5,1,thrip-bean-F
6,6,0,thrip-bean-F
6,6,0,thrip-bean-F
6,5,1,thrip-bean-F
6,6,0,thrip-bean-F
6,5,1,thrip-bean-F
6,5,1,thrip-bean-F
6,5,1,thrip-bean-F
6,5,1,thrip-bean-F
6,4,2,thrip-bean-F
6,4,2,thrip-bean-F
10,8,2,thrip-bean-F
10,9,1,thrip-bean-F
10,7,3,thrip-bean-F
10,8,2,thrip-bean-F
10,8,2,thrip-bean-F
10,7,3,thrip-bean-F
10,8,2,thrip-bean-F
10,7,3,thrip-bean-F
10,8,2,thrip-bean-F
10,7,3,thrip-bean-F
10,10,0,thrip-bean-F
10,8,2,thrip-bean-F
10,7,3,thrip-bean-F
10,7,3,thrip-bean-F
10,7,3,thrip-bean-F
15,13,2,thrip-bean-F
15,10,5,thrip-bean-F
15,10,5,thrip-bean-F
15,11,4,thrip-bean-F
15,12,3,thrip-bean-F
15,13,2,thrip-bean-F
15,11,4,thrip-bean-F
15,11,4,thrip-bean-F
15,12,3,thrip-bean-F
15,12,3,thrip-bean-F
15,11,4,thrip-bean-F
15,10,5,thrip-bean-F
15,12,3,thrip-bean-F
15,9,6,thrip-bean-F
15,9,6,thrip-bean-F
20,13,7,thrip-bean-F
20,15,5,thrip-bean-F
20,13,7,thrip-bean-F
20,15,5,thrip-bean-F
20,14,6,thrip-bean-F
20,14,6,thrip-bean-F
20,15,5,thrip-bean-F
20,13,7,thrip-bean-F
20,14,6,thrip-bean-F
20,15,5,thrip-bean-F
20,13,7,thrip-bean-F
20,16,4,thrip-bean-F
20,17,3,thrip-bean-F
20,14,6,thrip-bean-F
20,13,7,thrip-bean-F
25,13,12,thrip-bean-F
25,20,5,thrip-bean-F
25,14,11,thrip-bean-F
25,17,8,thrip-bean-F
25,19,6,thrip-bean-F
25,14,11,thrip-bean-F
25,16,9,thrip-bean-F
25,13,12,thrip-bean-F
25,16,9,thrip-bean-F
25,15,10,thrip-bean-F
25,13,12,thrip-bean-F
25,15,10,thrip-bean-F
25,12,13,thrip-bean-F
25,12,13,thrip-bean-F
25,12,13,thrip-bean-F
30,18,12,thrip-bean-F
30,18,12,thrip-bean-F
30,16,14,thrip-bean-F
30,19,11,thrip-bean-F
30,21,9,thrip-bean-F
30,16,14,thrip-bean-F
30,20,10,thrip-bean-F
30,20,10,thrip-bean-F
30,15,15,thrip-bean-F
30,17,13,thrip-bean-F
30,15,15,thrip-bean-F
30,16,14,thrip-bean-F
30,15,15,thrip-bean-F
30,14,16,thrip-bean-F
30,14,16,thrip-bean-F
35,23,12,thrip-bean-F
35,16,19,thrip-bean-F
35,22,13,thrip-bean-F
35,17,18,thrip-bean-F
35,23,12,thrip-bean-F
35,18,17,thrip-bean-F
35,15,20,thrip-bean-F
35,19,16,thrip-bean-F
35,16,19,thrip-bean-F
35,17,18,thrip-bean-F
35,17,18,thrip-bean-F
35,16,19,thrip-bean-F
35,15,20,thrip-bean-F
35,14,21,thrip-bean-F
35,14,21,thrip-bean-F
40,21,19,thrip-bean-F
40,21,19,thrip-bean-F
40,22,18,thrip-bean-F
40,22,18,thrip-bean-F
40,25,15,thrip-bean-F
40,25,15,thrip-bean-F
40,25,15,thrip-bean-F
40,22,18,thrip-bean-F
40,20,20,thrip-bean-F
40,24,16,thrip-bean-F
40,20,20,thrip-bean-F
40,24,16,thrip-bean-F
40,20,20,thrip-bean-F
40,18,22,thrip-bean-F
40,17,23,thrip-bean-F
30,30,0,mite-bean-M
30,12,18,mite-bean-M
30,24,6,mite-bean-M
30,28,2,mite-bean-M
30,26,4,mite-bean-M
30,17,13,mite-bean-M
30,23,7,mite-bean-M
30,27,3,mite-bean-M
30,16,14,mite-bean-M
30,18,12,mite-bean-M
30,11,19,mite-bean-M
30,24,6,mite-bean-M
30,30,0,mite-bean-M
30,29,1,mite-bean-M
30,26,4,mite-bean-M
50,20,30,mite-bean-M
50,16,34,mite-bean-M
50,35,15,mite-bean-M
50,27,23,mite-bean-M
50,24,26,mite-bean-M
50,36,14,mite-bean-M
50,37,13,mite-bean-M
50,32,18,mite-bean-M
50,37,13,mite-bean-M
50,23,27,mite-bean-M
50,50,0,mite-bean-M
50,47,3,mite-bean-M
50,18,32,mite-bean-M
50,10,40,mite-bean-M
50,11,39,mite-bean-M
100,29,71,mite-bean-M
100,47,53,mite-bean-M
100,55,45,mite-bean-M
100,42,58,mite-bean-M
100,47,53,mite-bean-M
100,28,72,mite-bean-M
100,69,31,mite-bean-M
100,80,20,mite-bean-M
100,95,5,mite-bean-M
100,50,50,mite-bean-M
100,49,51,mite-bean-M
100,23,77,mite-bean-M
100,52,48,mite-bean-M
100,83,17,mite-bean-M
100,29,71,mite-bean-M
150,64,86,mite-bean-M
150,83,67,mite-bean-M
150,33,117,mite-bean-M
150,42,108,mite-bean-M
150,83,67,mite-bean-M
150,35,115,mite-bean-M
150,45,105,mite-bean-M
150,89,61,mite-bean-M
150,85,65,mite-bean-M
150,63,87,mite-bean-M
150,41,109,mite-bean-M
150,54,96,mite-bean-M
150,37,113,mite-bean-M
150,99,51,mite-bean-M
150,85,65,mite-bean-M
200,50,150,mite-bean-M
200,19,181,mite-bean-M
200,36,164,mite-bean-M
200,96,104,mite-bean-M
200,30,170,mite-bean-M
200,68,132,mite-bean-M
200,79,121,mite-bean-M
200,54,146,mite-bean-M
200,71,129,mite-bean-M
200,83,117,mite-bean-M
200,65,135,mite-bean-M
200,54,146,mite-bean-M
200,45,155,mite-bean-M
200,86,114,mite-bean-M
200,95,105,mite-bean-M
250,47,203,mite-bean-M
250,70,180,mite-bean-M
250,49,201,mite-bean-M
250,81,169,mite-bean-M
250,51,199,mite-bean-M
250,36,214,mite-bean-M
250,70,180,mite-bean-M
250,43,207,mite-bean-M
250,68,182,mite-bean-M
250,89,161,mite-bean-M
250,56,194,mite-bean-M
250,52,198,mite-bean-M
250,34,216,mite-bean-M
250,68,182,mite-bean-M
250,55,195,mite-bean-M
